id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,age_certification_num,weighted_rating
tm84618,Taxi Driver,MOVIE,1976,R,113,"['crime', 'drama']",['US'],0,tt0075314,8.3,795222,5.0,8.287
tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,"['comedy', 'fantasy']",['GB'],0,tt0071853,8.2,530877,2.0,8.182
tm70993,Life of Brian,MOVIE,1979,R,94,['comedy'],['GB'],0,tt0079470,8.0,392419,5.0,7.979
tm190788,The Exorcist,MOVIE,1973,R,133,['horror'],['US'],0,tt0070047,8.1,391942,5.0,8.078
ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,"['comedy', 'european']",['GB'],4,tt0063929,8.8,72895,4.0,8.626
tm14873,Dirty Harry,MOVIE,1971,R,102,"['thriller', 'crime', 'action']",['US'],0,tt0066999,7.7,153463,5.0,7.662
tm185072,My Fair Lady,MOVIE,1964,G,170,"['drama', 'music', 'romance', 'family']",['US'],0,tt0058385,7.8,94121,1.0,7.732
tm98978,The Blue Lagoon,MOVIE,1980,R,104,"['romance', 'drama']",['US'],0,tt0080453,5.8,69053,5.0,5.894
tm119281,Bonnie and Clyde,MOVIE,1967,R,110,"['drama', 'crime', 'action']",['US'],0,tt0061418,7.7,111189,5.0,7.648
tm67378,The Professionals,MOVIE,1966,PG-13,117,"['western', 'action', 'european']",['US'],0,tt0060862,7.3,16168,3.0,7.155
tm44204,The Guns of Navarone,MOVIE,1961,,158,"['war', 'action', 'drama']","['US', 'GB']",0,tt0054953,7.5,50150,0.0,7.417
tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,"['comedy', 'animation', 'action', 'fantasy', 'family']",['JP'],0,tt0079833,7.6,30277,2.0,7.453
tm96649,The Long Riders,MOVIE,1980,R,99,"['western', 'crime']",['US'],0,tt0081071,6.9,11329,5.0,6.869
tm16479,White Christmas,MOVIE,1954,,115,"['romance', 'comedy', 'music']",['US'],0,tt0047673,7.5,42373,0.0,7.403
tm119776,Top Gun,MOVIE,1986,PG,110,"['drama', 'action']",['US'],0,tt0092099,6.9,329656,2.0,6.898
ts20681,Seinfeld,SHOW,1989,TV-PG,24,['comedy'],['US'],9,tt0098904,8.9,302700,3.0,8.853
tm111075,Stand by Me,MOVIE,1986,R,89,['drama'],['US'],0,tt0092005,8.1,392790,5.0,8.078
tm180542,Once Upon a Time in America,MOVIE,1984,R,229,"['drama', 'crime', 'european']","['US', 'IT']",0,tt0087843,8.3,342335,5.0,8.27
tm138875,When Harry Met Sally...,MOVIE,1989,R,96,"['romance', 'comedy', 'drama']",['US'],0,tt0098635,7.7,212913,5.0,7.672
tm155792,Teenage Mutant Ninja Turtles,MOVIE,1990,PG,93,"['scifi', 'action', 'comedy', 'family']","['HK', 'US']",0,tt0100758,6.7,92647,2.0,6.708
tm22327,Full Metal Jacket,MOVIE,1987,R,116,"['drama', 'war']","['GB', 'US']",0,tt0093058,8.3,723306,5.0,8.286
tm54450,Christine,MOVIE,1983,R,90,"['horror', 'thriller', 'european']",['US'],0,tt0085333,6.7,80945,5.0,6.71
tm2386,A Nightmare on Elm Street,MOVIE,1984,R,91,['horror'],['US'],0,tt0087800,7.4,230543,5.0,7.383
ts22082,Knight Rider,SHOW,1982,TV-PG,51,"['action', 'scifi', 'crime', 'drama']",['US'],4,tt0083437,6.9,33760,3.0,6.886
tm145608,Awakenings,MOVIE,1990,PG-13,120,"['drama', 'european']",['US'],0,tt0099077,7.8,137549,3.0,7.752
